Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Fri Nov 8 2013,7:00p,Toronto Raptors,84,Indiana Pacers,91,Box Score,,13316,2:08,Bankers Life Fieldhouse,
Fri Nov 8 2013,7:00p,Boston Celtics,91,Orlando Magic,89,Box Score,,17555,2:26,Amway Center,
Fri Nov 8 2013,7:00p,Cleveland Cavaliers,79,Philadelphia 76ers,94,Box Score,,15219,1:59,Wells Fargo Center,
Fri Nov 8 2013,7:00p,Brooklyn Nets,108,Washington Wizards,112,Box Score,OT,17215,2:34,Verizon Center,
Fri Nov 8 2013,7:30p,Oklahoma City Thunder,119,Detroit Pistons,110,Box Score,,15624,2:23,The Palace of Auburn Hills,
Fri Nov 8 2013,8:00p,Utah Jazz,73,Chicago Bulls,97,Box Score,,21946,2:11,United Center,
Fri Nov 8 2013,8:00p,Dallas Mavericks,108,Minnesota Timberwolves,116,Box Score,,13677,2:12,Target Center,
Fri Nov 8 2013,8:00p,Los Angeles Lakers,85,New Orleans Pelicans,96,Box Score,,18209,2:10,Smoothie King Center,
Fri Nov 8 2013,8:30p,Golden State Warriors,74,San Antonio Spurs,76,Box Score,,18581,2:11,AT&T Center,
Fri Nov 8 2013,9:00p,Denver Nuggets,103,Phoenix Suns,114,Box Score,,15145,2:21,US Airways Center,
Fri Nov 8 2013,10:00p,Sacramento Kings,91,Portland Trail Blazers,104,Box Score,,17627,2:04,Moda Center,
Sat Nov 9 2013,7:00p,Utah Jazz,91,Toronto Raptors,115,Box Score,,17211,2:06,Air Canada Centre,
Sat Nov 9 2013,7:30p,Orlando Magic,94,Atlanta Hawks,104,Box Score,,15189,2:13,Philips Arena,
Sat Nov 9 2013,7:30p,Indiana Pacers,96,Brooklyn Nets,91,Box Score,,17732,2:14,Barclays Center,
Sat Nov 9 2013,7:30p,Philadelphia 76ers,125,Cleveland Cavaliers,127,Box Score,2OT,20562,2:57,Quicken Loans Arena,
Sat Nov 9 2013,7:30p,Boston Celtics,111,Miami Heat,110,Box Score,,19710,2:19,AmericanAirlines Arena,
Sat Nov 9 2013,8:00p,Los Angeles Clippers,107,Houston Rockets,94,Box Score,,18108,2:24,Toyota Center,
Sat Nov 9 2013,8:00p,Golden State Warriors,90,Memphis Grizzlies,108,Box Score,,16989,2:17,FedEx Forum,
Sat Nov 9 2013,8:30p,Dallas Mavericks,91,Milwaukee Bucks,83,Box Score,,16448,2:08,BMO Harris Bradley Center,
Sat Nov 9 2013,10:00p,Portland Trail Blazers,96,Sacramento Kings,85,Box Score,,15482,2:02,Sleep Train Arena,
Sun Nov 10 2013,12:00p,San Antonio Spurs,120,New York Knicks,89,Box Score,,19812,2:10,Madison Square Garden (IV),
Sun Nov 10 2013,7:00p,Washington Wizards,105,Oklahoma City Thunder,106,Box Score,OT,18203,2:31,Chesapeake Energy Arena,
Sun Nov 10 2013,8:00p,New Orleans Pelicans,94,Phoenix Suns,101,Box Score,,13154,2:07,US Airways Center,
Sun Nov 10 2013,9:30p,Minnesota Timberwolves,113,Los Angeles Lakers,90,Box Score,,18997,2:04,STAPLES Center,
Mon Nov 11 2013,7:00p,Atlanta Hawks,103,Charlotte Bobcats,94,Box Score,,13996,2:21,Time Warner Cable Arena,
Mon Nov 11 2013,7:00p,Memphis Grizzlies,79,Indiana Pacers,95,Box Score,,13130,2:12,Bankers Life Fieldhouse,
Mon Nov 11 2013,7:00p,San Antonio Spurs,109,Philadelphia 76ers,85,Box Score,,12424,1:54,Wells Fargo Center,
Mon Nov 11 2013,7:30p,Orlando Magic,105,Boston Celtics,120,Box Score,,18624,2:05,TD Garden,
Mon Nov 11 2013,8:00p,Cleveland Cavaliers,81,Chicago Bulls,96,Box Score,,21778,2:12,United Center,
Mon Nov 11 2013,8:00p,Toronto Raptors,104,Houston Rockets,110,Box Score,2OT,18134,3:16,Toyota Center,
Mon Nov 11 2013,9:00p,Denver Nuggets,100,Utah Jazz,81,Box Score,,16866,2:12,EnergySolutions Arena,
Mon Nov 11 2013,10:00p,Detroit Pistons,103,Portland Trail Blazers,109,Box Score,,18834,2:09,Moda Center,
Mon Nov 11 2013,10:30p,Minnesota Timberwolves,107,Los Angeles Clippers,109,Box Score,,19060,2:12,STAPLES Center,
Tue Nov 12 2013,7:30p,Milwaukee Bucks,95,Miami Heat,118,Box Score,,19600,2:06,AmericanAirlines Arena,
Tue Nov 12 2013,8:30p,Washington Wizards,95,Dallas Mavericks,105,Box Score,,19627,2:17,American Airlines Center,
Tue Nov 12 2013,10:30p,Detroit Pistons,95,Golden State Warriors,113,Box Score,,19596,2:11,Oracle Arena,
Tue Nov 12 2013,10:30p,New Orleans Pelicans,95,Los Angeles Lakers,116,Box Score,,18426,2:06,STAPLES Center,
Wed Nov 13 2013,7:00p,Milwaukee Bucks,91,Orlando Magic,94,Box Score,,13588,,Amway Center,
Wed Nov 13 2013,7:00p,Houston Rockets,117,Philadelphia 76ers,123,Box Score,OT,11671,2:41,Wells Fargo Center,
Wed Nov 13 2013,7:30p,Charlotte Bobcats,89,Boston Celtics,83,Box Score,,17032,2:21,TD Garden,
Wed Nov 13 2013,8:00p,New York Knicks,95,Atlanta Hawks,91,Box Score,,15057,,Philips Arena,
Wed Nov 13 2013,8:00p,Toronto Raptors,103,Memphis Grizzlies,87,Box Score,,15971,2:19,FedEx Forum,
Wed Nov 13 2013,8:00p,Cleveland Cavaliers,95,Minnesota Timberwolves,124,Box Score,,14978,2:07,Target Center,
Wed Nov 13 2013,8:30p,Washington Wizards,79,San Antonio Spurs,92,Box Score,,18581,1:55,AT&T Center,
Wed Nov 13 2013,9:00p,Los Angeles Lakers,99,Denver Nuggets,111,Box Score,,17824,2:14,Pepsi Center,
